Date,Price,Open,High,Low,Change %
2019-07-10,"1,418.80","1,397.80","1,419.21","1,389.88",1.50%
2019-07-11,"1,403.60","1,419.20","1,426.21","1,401.58",-1.07%
2019-07-12,"1,415.49","1,403.90","1,417.09","1,403.12",0.85%
2019-07-13,"1,415.49","1,403.90","1,417.09","1,403.12",0.85%
2019-07-14,"1,415.49","1,403.90","1,417.09","1,403.12",0.85%
2019-07-15,"1,413.68","1,415.75","1,419.75","1,407.69",-0.13%
2019-07-16,"1,405.93","1,415.05","1,418.34","1,401.23",-0.55%
2019-07-17,"1,426.60","1,406.59","1,427.00","1,400.18",1.47%
2019-07-18,"1,446.00","1,426.80","1,448.35","1,414.68",1.36%
2019-07-19,"1,424.91","1,446.40","1,452.96","1,420.40",-1.46%
2019-07-20,"1,424.91","1,446.40","1,452.96","1,420.40",-1.46%
2019-07-21,"1,424.91","1,446.40","1,452.96","1,420.40",-1.46%
2019-07-22,"1,424.72","1,425.15","1,429.77","1,422.34",-0.01%
2019-07-23,"1,416.99","1,425.15","1,429.25","1,414.29",-0.54%
2019-07-24,"1,425.80","1,417.55","1,429.55","1,416.43",0.62%
2019-07-25,"1,414.13","1,426.30","1,433.84","1,411.08",-0.82%
2019-07-26,"1,418.31","1,414.40","1,424.83","1,413.72",0.30%
2019-07-27,"1,418.31","1,414.40","1,424.83","1,413.72",0.30%
2019-07-28,"1,418.31","1,414.40","1,424.83","1,413.72",0.30%
2019-07-29,"1,426.69","1,419.49","1,428.46","1,416.98",0.59%
2019-07-30,"1,430.60","1,426.84","1,433.12","1,422.12",0.27%
2019-07-31,"1,413.55","1,431.05","1,433.07","1,411.42",-1.19%
2019-08-01,"1,445.06","1,411.34","1,445.98","1,400.65",2.23%
2019-08-02,"1,440.45","1,445.80","1,448.23","1,430.20",-0.32%
2019-08-03,"1,440.45","1,445.80","1,448.23","1,430.20",-0.32%
2019-08-04,"1,440.45","1,445.80","1,448.23","1,430.20",-0.32%
2019-08-05,"1,463.60","1,440.65","1,470.05","1,437.03",1.61%
2019-08-06,"1,473.87","1,464.00","1,475.04","1,456.61",0.70%
2019-08-07,"1,500.80","1,474.25","1,510.28","1,472.28",1.83%
2019-08-08,"1,500.00","1,501.50","1,509.72","1,490.08",-0.05%
2019-08-09,"1,496.84","1,501.20","1,508.40","1,494.69",-0.21%
2019-08-10,"1,496.84","1,501.20","1,508.40","1,494.69",-0.21%
2019-08-11,"1,496.84","1,501.20","1,508.40","1,494.69",-0.21%
2019-08-12,"1,511.16","1,497.65","1,517.95","1,487.91",0.96%
2019-08-13,"1,501.14","1,510.74","1,534.75","1,481.38",-0.66%
2019-08-14,"1,516.08","1,501.38","1,524.30","1,494.34",1.00%
2019-08-15,"1,522.95","1,517.05","1,527.00","1,508.22",0.45%
2019-08-16,"1,513.75","1,523.90","1,527.75","1,504.20",-0.60%
2019-08-17,"1,513.75","1,523.90","1,527.75","1,504.20",-0.60%
2019-08-18,"1,513.75","1,523.90","1,527.75","1,504.20",-0.60%
2019-08-19,"1,495.00","1,511.15","1,513.00","1,492.65",-1.24%
2019-08-20,"1,506.85","1,495.60","1,508.60","1,492.85",0.79%
2019-08-21,"1,502.00","1,507.70","1,508.40","1,496.15",-0.32%
2019-08-22,"1,498.60","1,502.20","1,504.68","1,491.85",-0.23%
2019-08-23,"1,526.10","1,499.00","1,530.11","1,493.05",1.84%
2019-08-24,"1,526.10","1,499.00","1,530.11","1,493.05",1.84%
2019-08-25,"1,526.10","1,499.00","1,530.11","1,493.05",1.84%
2019-08-26,"1,526.00","1,539.30","1,555.13","1,524.55",-0.01%
2019-08-27,"1,542.40","1,526.30","1,544.78","1,524.85",1.07%
2019-08-28,"1,538.80","1,541.80","1,547.03","1,531.55",-0.23%
2019-08-29,"1,527.40","1,539.20","1,550.72","1,519.50",-0.74%
2019-08-30,"1,519.85","1,527.60","1,533.45","1,517.43",-0.49%
2019-08-31,"1,519.85","1,527.60","1,533.45","1,517.43",-0.49%
2019-09-01,"1,519.85","1,527.60","1,533.45","1,517.43",-0.49%
2019-09-02,"1,530.34","1,520.10","1,533.81","1,519.15",0.69%
2019-09-03,"1,546.70","1,529.60","1,549.90","1,521.51",1.07%
2019-09-04,"1,552.35","1,547.10","1,557.38","1,533.81",0.37%
2019-09-05,"1,519.10","1,552.50","1,553.38","1,509.39",-2.14%
2019-09-06,"1,506.70","1,519.20","1,527.90","1,502.89",-0.82%
2019-09-07,"1,506.70","1,519.20","1,527.90","1,502.89",-0.82%
2019-09-08,"1,506.70","1,519.20","1,527.90","1,502.89",-0.82%
2019-09-09,"1,498.65","1,507.10","1,515.55","1,497.72",-0.53%
2019-09-10,"1,485.50","1,499.00","1,501.45","1,484.27",-0.88%
2019-09-11,"1,497.30","1,486.45","1,498.56","1,485.00",0.79%
2019-09-12,"1,498.70","1,497.50","1,523.96","1,488.80",0.09%
2019-09-13,"1,488.45","1,498.50","1,509.25","1,485.73",-0.68%
2019-09-14,"1,488.45","1,498.50","1,509.25","1,485.73",-0.68%
2019-09-15,"1,488.45","1,498.50","1,509.25","1,485.73",-0.68%
2019-09-16,"1,497.90","1,503.34","1,512.20","1,495.75",0.63%
2019-09-17,"1,502.20","1,498.85","1,507.48","1,493.36",0.29%
2019-09-18,"1,493.65","1,501.55","1,511.32","1,484.36",-0.57%
2019-09-19,"1,499.00","1,494.00","1,504.35","1,488.90",0.36%
2019-09-20,"1,516.75","1,499.40","1,517.24","1,497.90",1.18%
2019-09-21,"1,516.75","1,499.40","1,517.24","1,497.90",1.18%
2019-09-22,"1,516.75","1,499.40","1,517.24","1,497.90",1.18%
2019-09-23,"1,521.86","1,516.66","1,527.25","1,511.50",0.34%
2019-09-24,"1,531.80","1,522.40","1,535.85","1,515.80",0.65%
2019-09-25,"1,503.75","1,532.00","1,535.42","1,501.31",-1.83%
