Date,Volume
2017-06-04,1355120000
2017-06-05,1369309952
2017-06-06,2089609984
2017-06-07,1517709952
2017-06-08,1281170048
2017-06-09,1348950016
2017-06-10,2018889984
2017-06-11,1752400000
2017-06-12,2569530112
2017-06-13,1781200000
2017-06-14,1696560000
2017-06-15,2026259968
2017-06-16,1195190016
2017-06-17,1534509952
2017-06-18,1178659968
2017-06-19,1446840064
2017-06-20,1854189952
2017-06-21,1626579968
2017-06-22,1097939968
2017-06-23,961318976
2017-06-24,982750016
2017-06-25,1161100032
2017-06-26,1663280000
2017-06-27,1489789952
2017-06-28,1183869952
2017-06-29,949979008
2017-06-30,860273024
2017-07-01,779913984
2017-07-02,803747008
2017-07-03,964112000
2017-07-04,985516032
2017-07-05,941566016
2017-07-06,761956992
2017-07-07,917411968
2017-07-08,733329984
2017-07-09,527856000
2017-07-10,1111200000
2017-07-11,1329760000
2017-07-12,1117410048
2017-07-13,835769984
2017-07-14,882502976
2017-07-15,993608000
2017-07-16,1182870016
2017-07-17,1201760000
2017-07-18,1512450048
2017-07-19,1245100032
2017-07-20,2249260032
2017-07-21,1489449984
2017-07-22,1177129984
2017-07-23,1072840000
2017-07-24,866473984
2017-07-25,1460089984
2017-07-26,937404032
2017-07-27,789104000
2017-07-28,1380099968
2017-07-29,803745984
2017-07-30,705942976
2017-07-31,860574976
2017-08-01,1324669952
2017-08-02,1094950016
2017-08-03,804796992
2017-08-04,1002120000
2017-08-05,1945699968
2017-08-06,1105030016
2017-08-07,1482279936
2017-08-08,1752760064
2017-08-09,1468960000
2017-08-10,1515110016
2017-08-11,2021190016
2017-08-12,2219589888
2017-08-13,3159089920
2017-08-14,2463089920
2017-08-15,3258050048
2017-08-16,2272039936
2017-08-17,2553359872
2017-08-18,2941710080
2017-08-19,2975820032
2017-08-20,2109769984
2017-08-21,2800890112
2017-08-22,3764239872
2017-08-23,2369819904
2017-08-24,2037750016
2017-08-25,1727970048
2017-08-26,1511609984
2017-08-27,1537459968
2017-08-28,1959330048
2017-08-29,2486080000
2017-08-30,1937849984
2017-08-31,1944930048
2017-09-01,2599079936
2017-09-02,2722139904
2017-09-03,1933190016
2017-09-04,2987330048
2017-09-05,2697969920
2017-09-06,2172100096
2017-09-07,1844620032
2017-09-08,2700890112
2017-09-09,1386230016
2017-09-10,1679090048
2017-09-11,1557330048
2017-09-12,1864530048
2017-09-13,2219409920
2017-09-14,2716310016
2017-09-15,4148069888
2017-09-16,1818400000
2017-09-17,1239149952
2017-09-18,1943209984
2017-09-19,1563980032
2017-09-20,1213830016
2017-09-21,1411480064
2017-09-22,1194829952
2017-09-23,928113984
2017-09-24,768014976
2017-09-25,1374210048
2017-09-26,1043740032
2017-09-27,1686880000
2017-09-28,1712320000
2017-09-29,1367049984
2017-09-30,1207449984
2017-10-01,1208210048
2017-10-02,1431730048
2017-10-03,1288019968
2017-10-04,1116770048
2017-10-05,1161769984
2017-10-06,1069939968
2017-10-07,906928000
2017-10-08,1313869952
2017-10-09,1968739968
2017-10-10,1597139968
2017-10-11,1222279936
2017-10-12,2791610112
2017-10-13,3615480064
2017-10-14,1669030016
2017-10-15,1976039936
2017-10-16,2008070016
2017-10-17,1821570048
2017-10-18,2399269888
2017-10-19,1780540032
2017-10-20,2354429952
2017-10-21,2207099904
2017-10-22,2034630016
2017-10-23,2401840128
2017-10-24,2735699968
2017-10-25,1966989952
2017-10-26,1905040000
2017-10-27,1710130048
2017-10-28,1403920000
2017-10-29,2859040000
2017-10-30,1772150016
2017-10-31,2311379968
2017-11-01,2870320128
2017-11-02,4653770240
2017-11-03,3369860096
2017-11-04,2483800064
2017-11-05,2380410112
2017-11-06,3111899904
2017-11-07,2326340096
2017-11-08,4602200064
2017-11-09,3226249984
2017-11-10,5208249856
2017-11-11,4908680192
2017-11-12,8957349888
2017-11-13,6263249920
2017-11-14,3197110016
2017-11-15,4200880128
2017-11-16,5123809792
2017-11-17,4651670016
2017-11-18,3667190016
2017-11-19,3149319936
2017-11-20,3488450048
2017-11-21,4277609984
2017-11-22,3633530112
2017-11-23,4225179904
2017-11-24,5058610176
2017-11-25,4342060032
2017-11-26,5475579904
2017-11-27,5653320192
2017-11-28,6348819968
2017-11-29,11568799744
2017-11-30,8310689792
2017-12-01,6783119872
2017-12-02,5138500096
2017-12-03,6608309760
2017-12-04,6132409856
2017-12-05,6895260160
2017-12-06,12656300032
2017-12-07,17950699520
2017-12-08,21135998976
2017-12-09,13911300096
2017-12-10,13433299968
2017-12-11,12153900032
2017-12-12,14603799552
2017-12-13,12976900096
2017-12-14,13777399808
2017-12-15,14309999616
2017-12-16,12740599808
2017-12-17,13314599936
2017-12-18,14839499776
2017-12-19,16894499840
2017-12-20,22149699584
2017-12-21,16516599808
2017-12-22,22197999616
2017-12-23,13086000128
2017-12-24,11572299776
2017-12-25,10664699904
2017-12-26,13454300160
2017-12-27,12487600128
2017-12-28,12336499712
2017-12-29,13025500160
2017-12-30,14452599808
2017-12-31,12136299520
2018-01-01,10291200000
2018-01-02,16846600192
2018-01-03,16871900160
2018-01-04,21783199744
2018-01-05,23840899072
2018-01-06,18314600448
2018-01-07,15866000384
2018-01-08,18413899776
2018-01-09,16659999744
2018-01-10,18500800512
2018-01-11,16534099968
2018-01-12,12065699840
2018-01-13,12763599872
2018-01-14,11084099584
2018-01-15,12750799872
2018-01-16,18853799936
2018-01-17,18830600192
2018-01-18,15020399616
2018-01-19,10740400128
2018-01-20,11801700352
2018-01-21,9935179776
2018-01-22,10537400320
2018-01-23,9660609536
2018-01-24,9940989952
2018-01-25,8873169920
2018-01-26,9746199552
2018-01-27,7583269888
2018-01-28,8350360064
2018-01-29,7107359744
2018-01-30,8637859840
2018-01-31,8041160192
2018-02-01,9959400448
2018-02-02,12726899712
2018-02-03,7263790080
2018-02-04,7073549824
2018-02-05,9285289984
2018-02-06,13999800320
2018-02-07,9169280000
2018-02-08,9346750464
2018-02-09,6784820224
2018-02-10,7780960256
2018-02-11,6122189824
2018-02-12,6256439808
2018-02-13,5696719872
2018-02-14,7909819904
2018-02-15,9062540288
2018-02-16,7296159744
2018-02-17,8660880384
2018-02-18,8744009728
2018-02-19,7652089856
2018-02-20,9926540288
2018-02-21,9405339648
2018-02-22,8040079872
2018-02-23,7739500032
2018-02-24,6917929984
2018-02-25,5706939904
2018-02-26,7287690240
2018-02-27,6966179840
2018-02-28,6936189952
2018-03-01,7317279744
2018-03-02,7620590080
2018-03-03,6690570240
2018-03-04,6084149760
2018-03-05,6468539904
2018-03-06,6832169984
2018-03-07,8797910016
2018-03-08,7186089984
2018-03-09,8704190464
2018-03-10,5386319872
2018-03-11,6296370176
2018-03-12,6457399808
2018-03-13,5991139840
2018-03-14,6438230016
2018-03-15,6834429952
2018-03-16,5289379840
2018-03-17,4426149888
2018-03-18,6639190016
2018-03-19,6729110016
2018-03-20,6361789952
2018-03-21,6043129856
2018-03-22,5530390016
2018-03-23,5954120192
2018-03-24,5664600064
2018-03-25,4569880064
2018-03-26,5921039872
2018-03-27,5378250240
2018-03-28,4935289856
2018-03-29,6361229824
2018-03-30,6289509888
2018-03-31,4553269760
2018-04-01,4532100096
2018-04-02,4333440000
2018-04-03,5499700224
2018-04-04,4936000000
2018-04-05,5639320064
2018-04-06,3766810112
2018-04-07,3976610048
2018-04-08,3652499968
2018-04-09,4894060032
2018-04-10,4272750080
2018-04-11,4641889792
2018-04-12,8906250240
2018-04-13,7764460032
2018-04-14,5191430144
2018-04-15,5244480000
2018-04-16,5631309824
2018-04-17,6900879872
2018-04-18,6529909760
2018-04-19,7063209984
2018-04-20,8438110208
2018-04-21,7548550144
2018-04-22,6629899776
2018-04-23,6925190144
2018-04-24,10678800384
2018-04-25,11083100160
2018-04-26,8970559488
2018-04-27,7566289920
2018-04-28,7805479936
2018-04-29,8853000192
2018-04-30,8673920000
2018-05-01,7713019904
2018-05-02,7558159872
2018-05-03,10207299584
2018-05-04,8217829888
2018-05-05,7651939840
2018-05-06,7222280192
2018-05-07,7394019840
2018-05-08,7415869952
2018-05-09,7226890240
2018-05-10,6906699776
2018-05-11,8488520192
2018-05-12,6821380096
2018-05-13,5866379776
2018-05-14,7364149760
2018-05-15,6705710080
2018-05-16,6760220160
2018-05-17,5862530048
2018-05-18,5764190208
2018-05-19,4712399872
2018-05-20,5191059968
2018-05-21,5154990080
2018-05-22,5137010176
2018-05-23,6491120128
2018-05-24,6049220096
2018-05-25,4867829760
2018-05-26,4051539968
2018-05-27,4056519936
2018-05-28,5040600064
2018-05-29,5662660096
2018-05-30,4922540032
2018-05-31,5127130112
2018-06-01,4921460224
2018-06-02,4939299840
2018-06-03,4851760128
2018-06-04,4993169920
2018-06-05,4961739776
2018-06-06,4692259840
2018-06-07,4485799936
2018-06-08,4227579904
2018-06-09,3845220096
2018-06-10,5804839936
2018-06-11,4745269760
2018-06-12,4654380032
2018-06-13,5052349952
2018-06-14,5138710016
2018-06-15,3955389952
2018-06-16,3194170112
2018-06-17,3104019968
2018-06-18,4039200000
2018-06-19,4057029888
2018-06-20,3888640000
2018-06-21,3529129984
2018-06-22,5079810048
2018-06-23,3431360000
2018-06-24,4566909952
2018-06-25,5500810240
2018-06-26,3279759872
2018-06-27,3296219904
2018-06-28,3467800064
2018-06-29,3966230016
2018-06-30,4543860224
2018-07-01,4788259840
2018-07-02,4396930048
2018-07-03,4672309760
2018-07-04,4176689920
2018-07-05,4999240192
2018-07-06,4313959936
